table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
".Ouachita County, Arkansas","21,994","21,793",-0.91
".Perry County, Arkansas","10,073","10,184",1.10
".Phillips County, Arkansas","15,350","14,961",-2.53
".Pike County, Arkansas","10,159","10,208",0.48
".Poinsett County, Arkansas","22,453","22,397",-0.25
".Polk County, Arkansas","19,334","19,436",0.53
".Pope County, Arkansas","64,053","64,593",0.84
".Prairie County, Arkansas","8,077","8,036",-0.51
".Pulaski County, Arkansas","399,387","400,009",0.16
".Randolph County, Arkansas","18,852","18,907",0.29
".St. Francis County, Arkansas","22,402","22,101",-1.34
".Saline County, Arkansas","127,415","129,574",1.69
".Scott County, Arkansas","9,796","9,851",0.56
".Searcy County, Arkansas","7,906","7,806",-1.26
".Sebastian County, Arkansas","129,109","129,098",-0.01
".Sevier County, Arkansas","15,738","15,632",-0.67
".Sharp County, Arkansas","17,836","17,968",0.74
".Stone County, Arkansas","12,585","12,671",0.68
".Union County, Arkansas","37,813","37,397",-1.10
".Van Buren County, Arkansas","16,103","16,142",0.24
".Washington County, Arkansas","256,682","261,549",1.90
".White County, Arkansas","77,616","78,452",1.08
".Woodruff County, Arkansas","6,057","5,964",-1.54
".Yell County, Arkansas","20,091","20,044",-0.23
".Alameda County, California","1,628,259","1,622,188",-0.37
".Alpine County, California","1,190","1,141",-4.12
".Amador County, California","41,493","41,811",0.77
".Butte County, California","207,369","207,172",-0.09
".Calaveras County, California","46,556","46,565",0.02
".Colusa County, California","21,909","22,037",0.58
".Contra Costa County, California","1,157,019","1,155,025",-0.17
".Del Norte County, California","27,112","26,589",-1.93
".El Dorado County, California","192,787","192,215",-0.30
".Fresno County, California","1,015,359","1,017,162",0.18
".Glenn County, California","28,360","28,129",-0.81
".Humboldt County, California","134,944","133,985",-0.71
".Imperial County, California","178,940","179,057",0.07
".Inyo County, California","18,742","18,527",-1.15
".Kern County, California","916,751","913,820",-0.32
".Kings County, California","152,987","152,682",-0.20
".Lake County, California","68,172","67,878",-0.43
".Lassen County, California","30,020","28,861",-3.86
".Los Angeles County, California","9,719,765","9,663,345",-0.58
".Madera County, California","160,329","162,858",1.58
".Marin County, California","256,154","254,407",-0.68
".Mariposa County, California","17,053","16,919",-0.79
".Mendocino County, California","90,007","89,108",-1.00
".Merced County, California","290,210","291,920",0.59
".Modoc County, California","8,619","8,500",-1.38
".Mono County, California","13,002","13,066",0.49
".Monterey County, California","432,884","430,723",-0.50
".Napa County, California","134,370","133,216",-0.86
".Nevada County, California","102,401","102,037",-0.36
".Orange County, California","3,150,372","3,135,755",-0.46
".Placer County, California","418,074","423,561",1.31
".Plumas County, California","19,443","19,131",-1.60
".Riverside County, California","2,474,241","2,492,442",0.74
".Sacramento County, California","1,584,380","1,584,288",-0.01
".San Benito County, California","67,643","68,175",0.79
".San Bernardino County, California","2,194,908","2,195,611",0.03
".San Diego County, California","3,277,176","3,269,973",-0.22
".San Francisco County, California","807,774","808,988",0.15
".San Joaquin County, California","794,293","800,965",0.84
".San Luis Obispo County, California","282,046","281,639",-0.14
".San Mateo County, California","728,929","726,353",-0.35
".Santa Barbara County, California","443,915","441,257",-0.60
".Santa Clara County, California","1,878,335","1,877,592",-0.04
".Santa Cruz County, California","264,240","261,547",-1.02
".Shasta County, California","180,937","180,366",-0.32
".Sierra County, California","3,222","3,200",-0.68
".Siskiyou County, California","43,786","42,905",-2.01
".Solano County, California","448,885","449,218",0.07
".Sonoma County, California","482,669","481,812",-0.18
".Stanislaus County, California","551,226","551,430",0.04
".Sutter County, California","98,569","97,948",-0.63
".Tehama County, California","65,299","64,896",-0.62
".Trinity County, California","15,778","15,670",-0.68
".Tulare County, California","477,884","479,468",0.33
".Tuolumne County, California","54,587","54,204",-0.70
".Ventura County, California","832,871","829,590",-0.39
".Yolo County, California","222,018","220,544",-0.66
".Yuba County, California","84,353","85,722",1.62
".Adams County, Colorado","527,509","533,365",1.11
".Alamosa County, Colorado","16,587","16,655",0.41
".Arapahoe County, Colorado","656,269","656,061",-0.03
".Archuleta County, Colorado","13,989","14,189",1.43
".Baca County, Colorado","3,435","3,344",-2.65
".Bent County, Colorado","5,439","5,681",4.45
".Boulder County, Colorado","327,339","326,831",-0.16
".Broomfield County, Colorado","76,195","76,860",0.87
".Chaffee County, Colorado","20,265","20,617",1.74
".Cheyenne County, Colorado","1,731","1,727",-0.23
".Clear Creek County, Colorado","9,367","9,147",-2.35
".Conejos County, Colorado","7,587","7,521",-0.87
".Costilla County, Colorado","3,615","3,628",0.36
".Crowley County, Colorado","5,627","5,636",0.16
".Custer County, Colorado","5,337","5,534",3.69
".Delta County, Colorado","31,560","31,746",0.59
".Denver County, Colorado","713,453","716,577",0.44
".Dolores County, Colorado","2,460","2,513",2.15
".Douglas County, Colorado","375,937","383,906",2.12
".Eagle County, Colorado","55,218","54,381",-1.52
".Elbert County, Colorado","27,842","28,806",3.46
".El Paso County, Colorado","740,596","744,215",0.49
".Fremont County, Colorado","49,616","50,318",1.41
".Garfield County, Colorado","62,256","62,707",0.72
".Gilpin County, Colorado","5,886","5,926",0.68
".Grand County, Colorado","15,734","15,935",1.28
".Gunnison County, Colorado","17,320","17,321",0.01
".Hinsdale County, Colorado",771,765,-0.78
".Huerfano County, Colorado","7,097","7,055",-0.59
".Jackson County, Colorado","1,314","1,309",-0.38
".Jefferson County, Colorado","575,811","576,366",0.10
".Kiowa County, Colorado","1,434","1,384",-3.49
".Kit Carson County, Colorado","6,983","6,994",0.16
".Lake County, Colorado","7,346","7,365",0.26
".La Plata County, Colorado","56,553","56,407",-0.26
".Larimer County, Colorado","367,577","370,771",0.87
".Las Animas County, Colorado","14,311","14,348",0.26
".Lincoln County, Colorado","5,510","5,480",-0.54
".Logan County, Colorado","20,792","20,619",-0.83
