,state_abv,county,pct_diff
408,GA,Calhoun County,-0.31
409,GA,Camden County,2.01
410,GA,Candler County,0.88
411,GA,Carroll County,2.06
412,GA,Catoosa County,0.11
413,GA,Charlton County,1.14
414,GA,Chatham County,0.87
415,GA,Chattahoochee County,-0.97
416,GA,Chattooga County,1.04
417,GA,Cherokee County,1.92
418,GA,Clarke County,0.16
419,GA,Clay County,0.00
420,GA,Clayton County,-0.03
421,GA,Clinch County,1.00
422,GA,Cobb County,0.64
423,GA,Coffee County,0.16
424,GA,Colquitt County,0.74
425,GA,Columbia County,1.66
426,GA,Cook County,1.75
427,GA,Coweta County,1.97
428,GA,Crawford County,0.89
429,GA,Crisp County,-0.50
430,GA,Dade County,0.47
431,GA,Dawson County,5.11
432,GA,Decatur County,0.23
433,GA,DeKalb County,0.16
434,GA,Dodge County,-0.49
435,GA,Dooly County,3.74
436,GA,Dougherty County,-0.30
437,GA,Douglas County,1.16
438,GA,Early County,0.03
439,GA,Echols County,0.62
440,GA,Effingham County,3.63
441,GA,Elbert County,0.70
442,GA,Emanuel County,0.75
443,GA,Evans County,0.89
444,GA,Fannin County,0.86
445,GA,Fayette County,1.12
446,GA,Floyd County,0.68
447,GA,Forsyth County,2.09
448,GA,Franklin County,2.63
449,GA,Fulton County,0.50
450,GA,Gilmer County,1.41
451,GA,Glascock County,0.89
452,GA,Glynn County,1.21
453,GA,Gordon County,1.53
454,GA,Grady County,0.28
455,GA,Greene County,3.04
456,GA,Gwinnett County,0.75
457,GA,Habersham County,2.72
458,GA,Hall County,2.19
459,GA,Hancock County,3.08
460,GA,Haralson County,2.18
461,GA,Harris County,1.09
462,GA,Hart County,2.49
463,GA,Heard County,2.71
464,GA,Henry County,2.47
465,GA,Houston County,1.30
466,GA,Irwin County,0.07
467,GA,Jackson County,5.48
468,GA,Jasper County,2.98
469,GA,Jeff Davis County,0.10
470,GA,Jefferson County,-0.73
471,GA,Jenkins County,-0.32
472,GA,Johnson County,0.77
473,GA,Jones County,1.60
474,GA,Lamar County,4.77
475,GA,Lanier County,2.70
476,GA,Laurens County,0.46
477,GA,Lee County,0.58
478,GA,Liberty County,1.90
479,GA,Lincoln County,0.25
480,GA,Long County,6.52
481,GA,Lowndes County,1.02
482,GA,Lumpkin County,1.59
483,GA,McDuffie County,0.50
484,GA,McIntosh County,2.84
485,GA,Macon County,0.34
486,GA,Madison County,2.36
487,GA,Marion County,0.05
488,GA,Meriwether County,0.20
489,GA,Miller County,-0.47
490,GA,Mitchell County,-0.37
491,GA,Monroe County,3.92
492,GA,Montgomery County,1.37
493,GA,Morgan County,2.07
494,GA,Murray County,1.55
495,GA,Muscogee County,-0.27
496,GA,Newton County,2.02
497,GA,Oconee County,1.28
498,GA,Oglethorpe County,1.44
499,GA,Paulding County,2.47
500,GA,Peach County,1.12
501,GA,Pickens County,3.28
502,GA,Pierce County,1.16
503,GA,Pike County,2.54
504,GA,Polk County,1.27
505,GA,Pulaski County,1.32
506,GA,Putnam County,0.85
507,GA,Quitman County,0.93
508,GA,Rabun County,1.01
509,GA,Randolph County,-0.78
510,GA,Richmond County,-0.45
511,GA,Rockdale County,1.10
512,GA,Schley County,0.64
513,GA,Screven County,1.46
514,GA,Seminole County,-0.57
515,GA,Spalding County,1.36
516,GA,Stephens County,1.80
517,GA,Stewart County,1.52
518,GA,Sumter County,0.09
519,GA,Talbot County,-0.68
520,GA,Taliaferro County,0.06
521,GA,Tattnall County,1.28
522,GA,Taylor County,-0.05
523,GA,Telfair County,-11.78
524,GA,Terrell County,-0.84
525,GA,Thomas County,0.22
526,GA,Tift County,0.53
527,GA,Toombs County,0.85
528,GA,Towns County,0.57
529,GA,Treutlen County,-0.28
530,GA,Troup County,0.70
531,GA,Turner County,0.83
532,GA,Twiggs County,0.20
533,GA,Union County,2.78
534,GA,Upson County,0.61
535,GA,Walker County,0.76
536,GA,Walton County,3.53
537,GA,Ware County,1.81
538,GA,Warren County,-0.99
539,GA,Washington County,0.28
540,GA,Wayne County,2.07
541,GA,Webster County,0.00
542,GA,Wheeler County,-3.13
543,GA,White County,0.77
544,GA,Whitfield County,0.57
545,GA,Wilcox County,0.32
546,GA,Wilkes County,-0.49
547,GA,Wilkinson County,0.55
548,GA,Worth County,-0.77
549,HI,Hawaii County,0.61
550,HI,Honolulu County,-0.54
551,HI,Kalawao County,0.00
552,HI,Kauai County,0.09
553,HI,Maui County,-0.11
554,ID,Ada County,1.09
555,ID,Adams County,2.34
556,ID,Bannock County,0.86
557,ID,Bear Lake County,0.53
558,ID,Benewah County,0.76
559,ID,Bingham County,0.84
560,ID,Blaine County,0.56
561,ID,Boise County,1.88
562,ID,Bonner County,2.22
563,ID,Bonneville County,1.41
564,ID,Boundary County,2.15
565,ID,Butte County,2.22
566,ID,Camas County,5.39
567,ID,Canyon County,2.70
568,ID,Caribou County,0.26
569,ID,Cassia County,0.20
570,ID,Clark County,-1.11
571,ID,Clearwater County,1.98
572,ID,Custer County,0.11
573,ID,Elmore County,1.13
574,ID,Franklin County,2.14
575,ID,Fremont County,1.28
576,ID,Gem County,3.02
577,ID,Gooding County,1.15
578,ID,Idaho County,1.43
579,ID,Jefferson County,2.59
580,ID,Jerome County,0.93
581,ID,Kootenai County,0.94
582,ID,Latah County,0.92
583,ID,Lemhi County,1.90
584,ID,Lewis County,0.38
585,ID,Lincoln County,1.21
586,ID,Madison County,-0.75
587,ID,Minidoka County,1.22
588,ID,Nez Perce County,0.18
589,ID,Oneida County,4.49
590,ID,Owyhee County,0.61
591,ID,Payette County,1.30
592,ID,Power County,1.44
593,ID,Shoshone County,0.65
594,ID,Teton County,0.24
595,ID,Twin Falls County,1.42
596,ID,Valley County,1.56
597,ID,Washington County,2.49
598,IL,Adams County,-0.18
599,IL,Alexander County,-3.02
600,IL,Bond County,-0.52
601,IL,Boone County,0.25
602,IL,Brown County,-0.35
603,IL,Bureau County,-0.30
604,IL,Calhoun County,-0.83
605,IL,Carroll County,-0.34
606,IL,Cass County,-0.33
607,IL,Champaign County,-0.25
608,IL,Christian County,-0.49
609,IL,Clark County,-0.47
610,IL,Clay County,-0.60
611,IL,Clinton County,-0.41
612,IL,Coles County,-0.62
613,IL,Cook County,-0.48
614,IL,Crawford County,-1.05
615,IL,Cumberland County,-0.46
616,IL,DeKalb County,0.06
617,IL,De Witt County,0.00
618,IL,Douglas County,-0.19
619,IL,DuPage County,-0.05
620,IL,Edgar County,-0.31
621,IL,Edwards County,-1.49
622,IL,Effingham County,0.09
623,IL,Fayette County,-0.50
624,IL,Ford County,-0.05
625,IL,Franklin County,-0.21
626,IL,Fulton County,-1.20
627,IL,Gallatin County,-3.17
628,IL,Greene County,-0.83
629,IL,Grundy County,0.81
630,IL,Hamilton County,-0.88
631,IL,Hancock County,-0.39
632,IL,Hardin County,-0.08
633,IL,Henderson County,-1.30
634,IL,Henry County,-0.30
635,IL,Iroquois County,-1.35
636,IL,Jackson County,-0.64
637,IL,Jasper County,-0.31
638,IL,Jefferson County,-0.27
639,IL,Jersey County,-0.47
640,IL,Jo Daviess County,-0.41
641,IL,Johnson County,-0.49
642,IL,Kane County,0.16
643,IL,Kankakee County,-0.05
644,IL,Kendall County,1.81
645,IL,Knox County,-0.43
646,IL,Lake County,-0.16
647,IL,LaSalle County,0.12
648,IL,Lawrence County,-0.52
649,IL,Lee County,-0.84
650,IL,Livingston County,-0.55
651,IL,Logan County,-0.27
652,IL,McDonough County,-0.28
653,IL,McHenry County,0.40
654,IL,McLean County,-0.28
655,IL,Macon County,-0.73
656,IL,Macoupin County,-0.24
657,IL,Madison County,-0.31
658,IL,Marion County,-0.63
659,IL,Marshall County,0.10
660,IL,Mason County,-1.39
661,IL,Massac County,-1.20
662,IL,Menard County,-0.98
663,IL,Mercer County,-0.30
664,IL,Monroe County,-0.13
665,IL,Montgomery County,-0.85
666,IL,Morgan County,-0.49
667,IL,Moultrie County,-0.23
668,IL,Ogle County,-0.16
669,IL,Peoria County,-0.27
670,IL,Perry County,-0.04
671,IL,Piatt County,0.23
672,IL,Pike County,-1.08
673,IL,Pope County,-1.04
674,IL,Pulaski County,-0.79
675,IL,Putnam County,0.14
676,IL,Randolph County,-0.70
677,IL,Richland County,-0.43
678,IL,Rock Island County,-0.23
679,IL,St. Clair County,-0.49
680,IL,Saline County,-0.78
681,IL,Sangamon County,-0.34
682,IL,Schuyler County,-0.30
683,IL,Scott County,-1.28
684,IL,Shelby County,-0.69
685,IL,Stark County,-1.79
686,IL,Stephenson County,-1.04
687,IL,Tazewell County,-0.05
688,IL,Union County,-0.63
689,IL,Vermilion County,-0.63
690,IL,Wabash County,-0.89
691,IL,Warren County,-1.07
692,IL,Washington County,-0.64
693,IL,Wayne County,-0.52
694,IL,White County,-1.43
695,IL,Whiteside County,-0.10
696,IL,Will County,0.38
697,IL,Williamson County,0.24
698,IL,Winnebago County,-0.22
699,IL,Woodford County,0.28
700,IN,Adams County,0.38
701,IN,Allen County,0.74
702,IN,Bartholomew County,0.73
